"age" "sex" "edu" "dm" "smoke_COPD" "bp_lowering" "lipid_lowering" "antithromb" "risk"
30 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.165459709879044
31 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.18221679372068
32 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.200668522570117
33 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.22098576502022
34 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.243356511156683
35 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.267987565754504
36 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.295099680686987
37 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.32490398847993
38 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.357613086363309
39 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.393444639518061
40 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.432618921702701
41 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.475355785006235
42 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.521871009568312
43 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.572371992257835
44 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.627052745101588
45 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.686088190146077
46 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.74962775776766
47 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.817788320427323
48 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.890646523513379
49 "Female" "Postgraduate" "0" "0" "0" "0" "0" 0.968230608996236
50 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.05051186560244
51 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.13739588022087
52 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.22876398730995
53 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.32464643522605
54 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.42512289796119
55 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.53028219874881
56 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.64022512882667
57 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.75506741635686
58 "Female" "Postgraduate" "0" "0" "0" "0" "0" 1.87494283755947
59 "Female" "Postgraduate" "0" "0" "0" "0" "0" 2.00000646563909
60 "Female" "Postgraduate" "0" "0" "0" "0" "0" 2.13043805712603
61 "Female" "Postgraduate" "0" "0" "0" "0" "0" 2.26644557973076
62 "Female" "Postgraduate" "0" "0" "0" "0" "0" 2.40826889064189
63 "Female" "Postgraduate" "0" "0" "0" "0" "0" 2.5561835793013
64 "Female" "Postgraduate" "0" "0" "0" "0" "0" 2.71050499399385
65 "Female" "Postgraduate" "0" "0" "0" "0" "0" 2.87159247702006
66 "Female" "Postgraduate" "0" "0" "0" "0" "0" 3.03985383871729
67 "Female" "Postgraduate" "0" "0" "0" "0" "0" 3.21575010609266
68 "Female" "Postgraduate" "0" "0" "0" "0" "0" 3.39980058727112
69 "Female" "Postgraduate" "0" "0" "0" "0" "0" 3.59258829827726
70 "Female" "Postgraduate" "0" "0" "0" "0" "0" 3.79476580378497
71 "Female" "Postgraduate" "0" "0" "0" "0" "0" 4.00706152829113
72 "Female" "Postgraduate" "0" "0" "0" "0" "0" 4.230210743077
73 "Female" "Postgraduate" "0" "0" "0" "0" "0" 4.4647023063428
74 "Female" "Postgraduate" "0" "0" "0" "0" "0" 4.71095067992666
75 "Female" "Postgraduate" "0" "0" "0" "0" "0" 4.96935957689402
76 "Female" "Postgraduate" "0" "0" "0" "0" "0" 5.24031668954267
77 "Female" "Postgraduate" "0" "0" "0" "0" "0" 5.52418756630181
78 "Female" "Postgraduate" "0" "0" "0" "0" "0" 5.82130854456384
79 "Female" "Postgraduate" "0" "0" "0" "0" "0" 6.13197864361844
80 "Female" "Postgraduate" "0" "0" "0" "0" "0" 6.4564503211606
81 "Female" "Postgraduate" "0" "0" "0" "0" "0" 6.79491899915445
82 "Female" "Postgraduate" "0" "0" "0" "0" "0" 7.14751127117374
83 "Female" "Postgraduate" "0" "0" "0" "0" "0" 7.51427171495471
84 "Female" "Postgraduate" "0" "0" "0" "0" "0" 7.89514825226242
85 "Female" "Postgraduate" "0" "0" "0" "0" "0" 8.28997602502526
30 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.30349204833916
31 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.334199079042765
32 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.368005332772574
33 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.405221999744412
34 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.446191178566899
35 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.491288875063886
36 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.540915967165879
37 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.595454937733612
38 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.655290068652619
39 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.720813906767392
40 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.79242261686928
41 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.870510284732962
42 "Male" "Postgraduate" "0" "0" "0" "0" "0" 0.95546208526154
43 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.04764624749723
44 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.14740477184309
45 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.25504288605361
46 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.37081726590963
47 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.49492309420861
48 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.62748008758264
49 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.76851768400213
50 "Male" "Postgraduate" "0" "0" "0" "0" "0" 1.91795965333965
51 "Male" "Postgraduate" "0" "0" "0" "0" "0" 2.07560846709519
52 "Male" "Postgraduate" "0" "0" "0" "0" "0" 2.24122091752525
53 "Male" "Postgraduate" "0" "0" "0" "0" "0" 2.41482224598608
54 "Male" "Postgraduate" "0" "0" "0" "0" "0" 2.59652451050224
55 "Male" "Postgraduate" "0" "0" "0" "0" "0" 2.78645298861556
56 "Male" "Postgraduate" "0" "0" "0" "0" "0" 2.98475085751618
57 "Male" "Postgraduate" "0" "0" "0" "0" "0" 3.19158405938371
58 "Male" "Postgraduate" "0" "0" "0" "0" "0" 3.40714632320508
59 "Male" "Postgraduate" "0" "0" "0" "0" "0" 3.63166431886647
60 "Male" "Postgraduate" "0" "0" "0" "0" "0" 3.86540292441372
61 "Male" "Postgraduate" "0" "0" "0" "0" "0" 4.10867059280911
62 "Male" "Postgraduate" "0" "0" "0" "0" "0" 4.36182481003995
63 "Male" "Postgraduate" "0" "0" "0" "0" "0" 4.62527764181029
64 "Male" "Postgraduate" "0" "0" "0" "0" "0" 4.89950137102002
65 "Male" "Postgraduate" "0" "0" "0" "0" "0" 5.18503423255305
66 "Male" "Postgraduate" "0" "0" "0" "0" "0" 5.48248625529224
67 "Male" "Postgraduate" "0" "0" "0" "0" "0" 5.79254522348208
68 "Male" "Postgraduate" "0" "0" "0" "0" "0" 6.11598277027141
69 "Male" "Postgraduate" "0" "0" "0" "0" "0" 6.45366061516657
70 "Male" "Postgraduate" "0" "0" "0" "0" "0" 6.80653695383832
71 "Male" "Postgraduate" "0" "0" "0" "0" "0" 7.17567300283591
72 "Male" "Postgraduate" "0" "0" "0" "0" "0" 7.56210629795267
73 "Male" "Postgraduate" "0" "0" "0" "0" "0" 7.96640214820197
74 "Male" "Postgraduate" "0" "0" "0" "0" "0" 8.38895601295393
75 "Male" "Postgraduate" "0" "0" "0" "0" "0" 8.83010205501455
76 "Male" "Postgraduate" "0" "0" "0" "0" "0" 9.29009970046174
77 "Male" "Postgraduate" "0" "0" "0" "0" "0" 9.76911855783013
78 "Male" "Postgraduate" "0" "0" "0" "0" "0" 10.2672216082542
79 "Male" "Postgraduate" "0" "0" "0" "0" "0" 10.7843466014406
80 "Male" "Postgraduate" "0" "0" "0" "0" "0" 11.3202856257578
81 "Male" "Postgraduate" "0" "0" "0" "0" "0" 11.8746628665834
82 "Male" "Postgraduate" "0" "0" "0" "0" "0" 12.4469106278913
83 "Male" "Postgraduate" "0" "0" "0" "0" "0" 13.0362437705972
84 "Male" "Postgraduate" "0" "0" "0" "0" "0" 13.6416328202568
85 "Male" "Postgraduate" "0" "0" "0" "0" "0" 14.2617761190268
30 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.195570739650591
31 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.215372494486938
32 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.237175789203642
33 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.261182224448908
34 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.28761355746731
35 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.316713686127003
36 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.348742877840604
37 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.383949906029945
38 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.422585128843847
39 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.464904724112644
40 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.511167758870981
41 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.561632583099329
42 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.61655249026617
43 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.67617059713983
44 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.740713909572458
45 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.810386560050439
46 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.885362227152364
47 "Female" "Tertiary" "0" "0" "0" "0" "0" 0.965775776882022
48 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.05171420113839
49 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.14320696903568
50 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.24021595172086
51 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.34262512966562
52 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.4502895075469
53 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.56323924637086
54 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.68156217279131
55 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.80535618731282
56 "Female" "Tertiary" "0" "0" "0" "0" "0" 1.93473249030362
57 "Female" "Tertiary" "0" "0" "0" "0" "0" 2.06981896689366
58 "Female" "Tertiary" "0" "0" "0" "0" "0" 2.21076371837242
59 "Female" "Tertiary" "0" "0" "0" "0" "0" 2.35773873141742
60 "Female" "Tertiary" "0" "0" "0" "0" "0" 2.51094368072783
61 "Female" "Tertiary" "0" "0" "0" "0" "0" 2.67060986529271
62 "Female" "Tertiary" "0" "0" "0" "0" "0" 2.83700428347475
63 "Female" "Tertiary" "0" "0" "0" "0" "0" 3.01043385721881
64 "Female" "Tertiary" "0" "0" "0" "0" "0" 3.19124982088895
65 "Female" "Tertiary" "0" "0" "0" "0" "0" 3.37985229538388
66 "Female" "Tertiary" "0" "0" "0" "0" "0" 3.57669507316999
67 "Female" "Tertiary" "0" "0" "0" "0" "0" 3.78229064459123
68 "Female" "Tertiary" "0" "0" "0" "0" "0" 3.99721550014916
69 "Female" "Tertiary" "0" "0" "0" "0" "0" 4.22211574726655
70 "Female" "Tertiary" "0" "0" "0" "0" "0" 4.45771308320716
71 "Female" "Tertiary" "0" "0" "0" "0" "0" 4.70481116814811
72 "Female" "Tertiary" "0" "0" "0" "0" "0" 4.96421371218131
73 "Female" "Tertiary" "0" "0" "0" "0" "0" 5.23642737361653
74 "Female" "Tertiary" "0" "0" "0" "0" "0" 5.52186261772501
75 "Female" "Tertiary" "0" "0" "0" "0" "0" 5.82090720418925
76 "Female" "Tertiary" "0" "0" "0" "0" "0" 6.13391886654365
77 "Female" "Tertiary" "0" "0" "0" "0" "0" 6.46121691439834
78 "Female" "Tertiary" "0" "0" "0" "0" "0" 6.80307265817637
79 "Female" "Tertiary" "0" "0" "0" "0" "0" 7.15969855825822
80 "Female" "Tertiary" "0" "0" "0" "0" "0" 7.53123600667723
81 "Female" "Tertiary" "0" "0" "0" "0" "0" 7.91774166110295
82 "Female" "Tertiary" "0" "0" "0" "0" "0" 8.31917226929402
83 "Female" "Tertiary" "0" "0" "0" "0" "0" 8.73536794925818
84 "Female" "Tertiary" "0" "0" "0" "0" "0" 9.16603392804861
85 "Female" "Tertiary" "0" "0" "0" "0" "0" 9.61072079271532
30 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.358664937899538
31 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.39493912650855
32 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.434871246675161
33 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.47882792209024
34 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.527212050752919
35 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.580466294825786
36 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.639062348403339
37 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.70344978142269
38 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.774079835526454
39 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.851412992098261
40 "Male" "Tertiary" "0" "0" "0" "0" "0" 0.935913409926512
41 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.02804212000356
42 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.12824887953101
43 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.23696260777105
44 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.35458035519124
45 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.48145479522467
46 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.61788027546721
47 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.76407752243102
48 "Male" "Tertiary" "0" "0" "0" "0" "0" 1.92017716073295
49 "Male" "Tertiary" "0" "0" "0" "0" "0" 2.08620228286299
50 "Male" "Tertiary" "0" "0" "0" "0" "0" 2.26205038777095
51 "Male" "Tertiary" "0" "0" "0" "0" "0" 2.44747509295541
52 "Male" "Tertiary" "0" "0" "0" "0" "0" 2.64217528093422
53 "Male" "Tertiary" "0" "0" "0" "0" "0" 2.84616460843919
54 "Male" "Tertiary" "0" "0" "0" "0" "0" 3.05955724127667
55 "Male" "Tertiary" "0" "0" "0" "0" "0" 3.28248098310558
56 "Male" "Tertiary" "0" "0" "0" "0" "0" 3.51508253422777
57 "Male" "Tertiary" "0" "0" "0" "0" "0" 3.75753292153347
58 "Male" "Tertiary" "0" "0" "0" "0" "0" 4.01003305845906
59 "Male" "Tertiary" "0" "0" "0" "0" "0" 4.27281939825426
60 "Male" "Tertiary" "0" "0" "0" "0" "0" 4.54616964880544
61 "Male" "Tertiary" "0" "0" "0" "0" "0" 4.8304085224191
62 "Male" "Tertiary" "0" "0" "0" "0" "0" 5.12591349901833
63 "Male" "Tertiary" "0" "0" "0" "0" "0" 5.43312058582687
64 "Male" "Tertiary" "0" "0" "0" "0" "0" 5.75253006048121
65 "Male" "Tertiary" "0" "0" "0" "0" "0" 6.08471218729048
66 "Male" "Tertiary" "0" "0" "0" "0" "0" 6.43031289772079
67 "Male" "Tertiary" "0" "0" "0" "0" "0" 6.79005942576162
68 "Male" "Tertiary" "0" "0" "0" "0" "0" 7.16476588627336
69 "Male" "Tertiary" "0" "0" "0" "0" "0" 7.5553387793212
70 "Male" "Tertiary" "0" "0" "0" "0" "0" 7.96278239544652
71 "Male" "Tertiary" "0" "0" "0" "0" "0" 8.38820408534136
72 "Male" "Tertiary" "0" "0" "0" "0" "0" 8.83266449643481
73 "Male" "Tertiary" "0" "0" "0" "0" "0" 9.29665535497319
74 "Male" "Tertiary" "0" "0" "0" "0" "0" 9.780450526926
75 "Male" "Tertiary" "0" "0" "0" "0" "0" 10.2842305138571
76 "Male" "Tertiary" "0" "0" "0" "0" "0" 10.8080650358454
77 "Male" "Tertiary" "0" "0" "0" "0" "0" 11.3518937647707
78 "Male" "Tertiary" "0" "0" "0" "0" "0" 11.9155051758294
79 "Male" "Tertiary" "0" "0" "0" "0" "0" 12.4985135320907
80 "Male" "Tertiary" "0" "0" "0" "0" "0" 13.100334079092
81 "Male" "Tertiary" "0" "0" "0" "0" "0" 13.7201566066642
82 "Male" "Tertiary" "0" "0" "0" "0" "0" 14.3569176362288
83 "Male" "Tertiary" "0" "0" "0" "0" "0" 15.0092716164655
84 "Male" "Tertiary" "0" "0" "0" "0" "0" 15.6755616609294
85 "Male" "Tertiary" "0" "0" "0" "0" "0" 16.3537905395908
30 "Female" "Secondary" "0" "0" "0" "0" "0" 0.237544820071672
